PDB ID,Ln.K_f.,HYDROPHOBICITY,MOLECULAR_WEIGHT,DEGREE,WEIGHTED_DEGREE,RESIDUE_FREQUENCY,CLUSTERING_COEFFICIENT,BETWEENNESS_CENTRALITY,PAGE_RANK
1HRC,8.76,0.9026807973,0.8834681806,0.8623333753,0.7807975015,0.9422479728,0.941005074,0.831404299587488,0.792914029041264
1HZ6,4.1,0.7284324843,0.8074616699,0.8027388411,0.6732192999,0.8147934186,0.9264108044,0.625370574658643,0.683647193604082
1IMQ,7.31,0.9003814879,0.9013578706,0.886204558,0.783692278,0.9326668007,0.9347684088,0.814713194565988,0.78230684600725
1LMB,8.5,0.8626113405,0.8648042914,0.8755008157,0.7922869791,0.8643853188,0.9479879957,0.775741615696685,0.797356695154961
1LOP,6.6,0.7822598882,0.8500082798,0.8393307493,0.75578359,0.8971695649,0.8870688006,0.800924978518794,0.742969732368801
1MJC,5.24,0.6618460228,0.7739638465,0.7480926783,0.6543830386,0.8427226765,0.8957931178,0.682103437330596,0.675563612130098
1NYF,4.54,0.7429220887,0.7841073255,0.7597524893,0.7792030031,0.8512887693,0.8650200393,0.666914901263922,0.788809218039855
1PBA,6.8,0.7073972244,0.8046476016,0.8089234158,0.762811668,0.777152123,0.9138491011,0.778769611645221,0.759273074096599
1PCA,6.8,0.8782906194,0.8034774615,0.8273776741,0.7811508467,0.888696756,0.9157012974,0.790490390619803,0.774147784539657
1PGB,6,0.7633687163,0.8504292396,0.8138067173,0.6664907371,0.8049733251,0.9413536069,0.710103614146839,0.661669862874759
1PIN,9.44,0.7831454561,0.8559282068,0.8653240534,0.7421158548,0.882160128,0.9257600581,0.793228593615057,0.76097972252876
1PKS,1.05,0.6426383854,0.7634475802,0.7466906594,0.7591327564,0.8274892096,0.8610021642,0.66558496260235,0.738232906247192
1PNJ,1.1,0.7493905615,0.7946065481,0.8046322608,0.7795823754,0.8260775026,0.9119771436,0.699964671157397,0.75828291016863
1POH,2.7,0.6944739232,0.7716981975,0.7288755692,0.6449661371,0.8168913802,0.860584745,0.728207941214079,0.663472519035211
1RIS,5.9,0.6897477567,0.787557785,0.7814927611,0.7912535475,0.7919189554,0.8497901407,0.685780111697612,0.784229522640949
1SHF,4.5,0.7109970998,0.7711931156,0.7161381933,0.7233301113,0.8401597518,0.874052732,0.611313445376434,0.742533808461412
1SHG,1.41,0.6720593786,0.7700500383,0.6733685516,0.708031251,0.8453809157,0.8506930723,0.552654966573471,0.698578645561002
1SRL,4.04,0.7855407942,0.7181138176,0.6965928706,0.6882938278,0.8560486516,0.8347549507,0.603983502974563,0.68325047237368
1TEN,1.06,0.7077617288,0.7661389452,0.7287765578,0.6166409688,0.8598379712,0.8760976257,0.610331090757006,0.630658617225057
1TIT,3.47,0.5079966241,0.6677839938,0.681371518,0.6335901619,0.7320684407,0.8106296709,0.593928382586267,0.614952867335513
1UBQ,7.33,0.7426714917,0.8798028857,0.7950733197,0.7788187036,0.7783364397,0.9030093222,0.665381140596067,0.763234691911465
1URN,5.73,0.8304638003,0.842609643,0.853687865,0.7711180615,0.8635964558,0.9291774035,0.741284143897976,0.776603615909743
1VII,11.52,0.8652066739,0.8610029506,0.8420279676,0.8092364769,0.8894645332,0.9495020576,0.739353366279493,0.80677563235206
1VIK,6.8,0.7551488954,0.8397580244,0.7915126455,0.7648565511,0.8221099345,0.9180387623,0.728286839045797,0.763148327975415
1WIT,0.41,0.6185647512,0.7014150052,0.6668326733,0.6461960136,0.7663066034,0.8316774902,0.602948360879779,0.64706970224553
1YCC,9.62,0.9229564584,0.8666629005,0.8456084242,0.7483900992,0.9349570516,0.9247447704,0.843709263452561,0.767241558120751
256B,12.2,0.8001091014,0.8392616493,0.8511076094,0.7738357145,0.84470414,0.9242319431,0.799426223459196,0.784604195527642
2ABD,6.55,0.7531858233,0.7901803631,0.8175791323,0.7397652995,0.8305775157,0.9058356498,0.741160696514403,0.741388982881617
2ACY,0.92,0.6109317138,0.6712334284,0.6720799847,0.655555492,0.7332415876,0.805028724,0.549036151020723,0.630346853536518
2AIT,4.2,0.6785649492,0.7170366094,0.6945915052,0.7225166836,0.7897304277,0.8378455653,0.602741467210875,0.708369753681262
2CI2,3.9,0.7193325234,0.7590028723,0.7796155977,0.7370333538,0.7499618981,0.8710722171,0.715654577168773,0.727307805335621
2HQI,0.18,0.6617021142,0.7397021303,0.7168461122,0.6596982432,0.7965537685,0.8230922092,0.663650489367083,0.65618268713616
2PDD,9.8,0.7257907575,0.8447414192,0.7620057454,0.6859626437,0.8561877092,0.8704130828,0.668064928903584,0.698882523516253
2PTL,4.1,0.772515173,0.8516197878,0.8381265607,0.7077722293,0.8675817834,0.9251282369,0.822474979142588,0.708167904384121
2VIK,6.8,0.7752180964,0.7776441622,0.7979405301,0.7493249539,0.8624630059,0.8965735249,0.737017925877156,0.72019125268379
3MEF,5.3,0.6934786599,0.7668384783,0.765500742,0.7376365098,0.783923327,0.8955093073,0.670684140508124,0.747600762651646
